id,name,location,flag,dates,year
championship_1,Peaky Blinders Inaugural Championship,London,🇬🇧,August 1-5th,2023
championship_2,Mogu-Mogu,Coventry,🇬🇧,September 23-25th,2023
championship_3,Skywalker-Xavi,London,🇬🇧,October 6-8th,2023
championship_4,TBD,London,🇬🇧,October 13-15th,2023
championship_5,Blue-Gelato,Coventry,🇬🇧,October 27-28th,2023
championship_6,Naati's farewell,London,🇬🇧,January 18-21st,2024
championship_7,Xchange Point,London,🇬🇧,April 4-7th,2024
championship_8,Guruji's first farewell,London,🇬🇧,May 25-28th,2024
mini_championship_1,Tropical-Runtz Mini Championship,Coventry,🇬🇧,October 28th,2023
mini_championship_2,Ashirvad Mini Championship,London,🇬🇧,April 18-23rd,2024
mini_championship_3,Nats has meetings Mini Championship,London,🇬🇧,May 26-28th,2024
mini_championship_4,I scored for 10£ Mini Championship,London,🇬🇧,September 13-15th,2024
mini_championship_5,The one with the Handicap,London,🇬🇧,November 23-24th,2024
mini_championship_6,MCL Surgery,Bengaluru,🇮🇳,December 5-6th,2024
mini_championship_7,Chinese new year,London,🇬🇧,February 1st,2025
mini_championship_8,Queens wood,London,🇬🇧,April 12th,2025
mini_championship_9,Abhi in London,London,🇬🇧,August 2-14th,2025
tiny_championship_1,Yorkshire Dales,Leeds,🇬🇧,June 28-30th,2024
tiny_championship_2,Skanda in London,London,🇬🇧,September 4-26th,2024
tiny_championship_3,Munich has fallen,Bengaluru,🇮🇳,October 12th - November 3rd,2024
tiny_championship_4,BA119 - Tiny on Air,Global,🌐,November 4th,2024
tiny_championship_5,Winter Wonderland,London,🇬🇧,November 22-23rd,2024
tiny_championship_6,One more India trip,Bengaluru,🇮🇳,December 1-27th,2024
tiny_championship_7,New Year Bash 2025,London,🇬🇧,January 1-3rd,2025
tiny_championship_8,Chinese new year,London,🇬🇧,January 31st,2025
tiny_championship_9,The triple wedding trip,Bengaluru,🇮🇳,March 1-16th,2025
tiny_championship_10,The one that was a draw,London,🇬🇧,April 11-13th,2025
tiny_championship_11,P got a job,London,🇬🇧,July 17-20th,2025
tiny_championship_12,Another tiny?,London,🇬🇧,July 20-22nd,2025
tiny_championship_13,Abhi debuts in Tiny,London,🇬🇧,August 2-14th,2025
tiny_championship_14,WW2 - No cameras allowed,London,🇬🇧,November 14-17th,2025
tiny_championship_15,New Year Bash 2026,London,🇬🇧,January 29-31st,2026
tiny_championship_16,Pearl Harbor Championship,London,🇬🇧,February 20-22nd,2026
tiny_championship_17,High Ceilings,London,🇬🇧,March 5-7th,2026
international_friendly_1,Chicken Wings,London,🇬🇧,April 18th,2024
international_friendly_2,Blue Bottom,Canary Islands,🇪🇸,June 1-10th,2024
international_friendly_3,Lot of twigs in a cover,Bengaluru,🇮🇳,December 17th,2024
international_friendly_4,The 420,Bengaluru,🇮🇳,March 14th,2025
